Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=12, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=28, rank=32, groups=8, gate_mode='pam', val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
The length of train set is: 2211
DDP: 1 GPU(s), world_size=1
185 iterations per epoch. 55500 max iterations 
epoch 58/300  loss: 0.0663  loss_ce: 0.0112  lr: 0.008242  elapsed: 2.22h
epoch 59/300  loss: 0.0667  loss_ce: 0.0113  lr: 0.008211  elapsed: 2.26h
epoch 60/300  loss: 0.0612  loss_ce: 0.0107  lr: 0.008181  elapsed: 2.30h
epoch 60 val_dice: 0.7778  best: 0.7685
=> best model saved (DSC 0.7778)
epoch 61/300  loss: 0.0615  loss_ce: 0.0107  lr: 0.008150  elapsed: 2.33h
epoch 62/300  loss: 0.0605  loss_ce: 0.0104  lr: 0.008119  elapsed: 2.37h
epoch 63/300  loss: 0.0619  loss_ce: 0.0115  lr: 0.008089  elapsed: 2.41h
epoch 64/300  loss: 0.0668  loss_ce: 0.0113  lr: 0.008058  elapsed: 2.45h
epoch 65/300  loss: 0.0672  loss_ce: 0.0113  lr: 0.008027  elapsed: 2.49h
epoch 66/300  loss: 0.0598  loss_ce: 0.0110  lr: 0.007996  elapsed: 2.52h
epoch 67/300  loss: 0.0601  loss_ce: 0.0108  lr: 0.007966  elapsed: 2.56h
epoch 68/300  loss: 0.0624  loss_ce: 0.0116  lr: 0.007935  elapsed: 2.60h
epoch 69/300  loss: 0.0570  loss_ce: 0.0104  lr: 0.007904  elapsed: 2.64h
epoch 70/300  loss: 0.0659  loss_ce: 0.0106  lr: 0.007873  elapsed: 2.68h
epoch 71/300  loss: 0.0584  loss_ce: 0.0101  lr: 0.007842  elapsed: 2.72h
epoch 72/300  loss: 0.0608  loss_ce: 0.0103  lr: 0.007812  elapsed: 2.75h
epoch 73/300  loss: 0.0580  loss_ce: 0.0101  lr: 0.007781  elapsed: 2.79h
epoch 74/300  loss: 0.0611  loss_ce: 0.0104  lr: 0.007750  elapsed: 2.83h
epoch 75/300  loss: 0.0631  loss_ce: 0.0115  lr: 0.007719  elapsed: 2.87h
epoch 75 val_dice: 0.7991  best: 0.7778
=> best model saved (DSC 0.7991)
epoch 76/300  loss: 0.0574  loss_ce: 0.0105  lr: 0.007688  elapsed: 2.91h
epoch 77/300  loss: 0.0594  loss_ce: 0.0102  lr: 0.007657  elapsed: 2.94h
epoch 78/300  loss: 0.0574  loss_ce: 0.0097  lr: 0.007626  elapsed: 2.98h
epoch 79/300  loss: 0.0559  loss_ce: 0.0097  lr: 0.007595  elapsed: 3.02h
epoch 80/300  loss: 0.0633  loss_ce: 0.0100  lr: 0.007565  elapsed: 3.06h
epoch 81/300  loss: 0.0534  loss_ce: 0.0097  lr: 0.007534  elapsed: 3.10h
epoch 82/300  loss: 0.0580  loss_ce: 0.0111  lr: 0.007503  elapsed: 3.14h
epoch 83/300  loss: 0.0598  loss_ce: 0.0097  lr: 0.007472  elapsed: 3.17h
epoch 84/300  loss: 0.0609  loss_ce: 0.0099  lr: 0.007441  elapsed: 3.21h
epoch 85/300  loss: 0.0578  loss_ce: 0.0100  lr: 0.007410  elapsed: 3.25h
epoch 86/300  loss: 0.0604  loss_ce: 0.0100  lr: 0.007379  elapsed: 3.29h
