Namespace(root_path='../data/ACDC/ACDC_training_slices', dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=112, rank=32, groups=8, gate_mode='pam', val_interval=15, is_pretrain=True, exp='ApproxDA_ACDC224')
The length of train set is: 1282
DDP: 1 GPU(s), world_size=1
54 iterations per epoch. 16200 max iterations 
epoch 1/300  loss: 0.3696  loss_ce: 0.2075  lr: 0.009971  elapsed: 0.02h
epoch 2/300  loss: 0.2716  loss_ce: 0.0735  lr: 0.009941  elapsed: 0.05h
epoch 3/300  loss: 0.2624  loss_ce: 0.0684  lr: 0.009911  elapsed: 0.07h
epoch 4/300  loss: 0.2545  loss_ce: 0.0650  lr: 0.009880  elapsed: 0.09h
epoch 5/300  loss: 0.2317  loss_ce: 0.0606  lr: 0.009850  elapsed: 0.12h
epoch 6/300  loss: 0.1778  loss_ce: 0.0539  lr: 0.009820  elapsed: 0.14h
epoch 7/300  loss: 0.1377  loss_ce: 0.0461  lr: 0.009790  elapsed: 0.16h
epoch 8/300  loss: 0.1131  loss_ce: 0.0388  lr: 0.009760  elapsed: 0.18h
epoch 9/300  loss: 0.0968  loss_ce: 0.0342  lr: 0.009730  elapsed: 0.21h
epoch 10/300  loss: 0.0849  loss_ce: 0.0307  lr: 0.009700  elapsed: 0.23h
epoch 11/300  loss: 0.0792  loss_ce: 0.0289  lr: 0.009670  elapsed: 0.25h
epoch 12/300  loss: 0.0730  loss_ce: 0.0271  lr: 0.009640  elapsed: 0.28h
epoch 13/300  loss: 0.0679  loss_ce: 0.0256  lr: 0.009610  elapsed: 0.30h
epoch 14/300  loss: 0.0641  loss_ce: 0.0240  lr: 0.009580  elapsed: 0.32h
epoch 15/300  loss: 0.0545  loss_ce: 0.0213  lr: 0.009549  elapsed: 0.35h
epoch 16/300  loss: 0.0494  loss_ce: 0.0191  lr: 0.009519  elapsed: 0.37h
epoch 17/300  loss: 0.0467  loss_ce: 0.0181  lr: 0.009489  elapsed: 0.39h
epoch 18/300  loss: 0.0432  loss_ce: 0.0167  lr: 0.009459  elapsed: 0.42h
epoch 19/300  loss: 0.0411  loss_ce: 0.0159  lr: 0.009429  elapsed: 0.44h
epoch 20/300  loss: 0.0398  loss_ce: 0.0154  lr: 0.009399  elapsed: 0.46h
epoch 21/300  loss: 0.0384  loss_ce: 0.0149  lr: 0.009368  elapsed: 0.49h
epoch 22/300  loss: 0.0373  loss_ce: 0.0144  lr: 0.009338  elapsed: 0.51h
epoch 23/300  loss: 0.0363  loss_ce: 0.0141  lr: 0.009308  elapsed: 0.53h
epoch 24/300  loss: 0.0361  loss_ce: 0.0140  lr: 0.009278  elapsed: 0.56h
epoch 25/300  loss: 0.0345  loss_ce: 0.0133  lr: 0.009247  elapsed: 0.58h
epoch 26/300  loss: 0.0337  loss_ce: 0.0131  lr: 0.009217  elapsed: 0.60h
epoch 27/300  loss: 0.0334  loss_ce: 0.0128  lr: 0.009187  elapsed: 0.63h
