Namespace(root_path='../data/ACDC/ACDC_training_slices', dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, gate_mode='pam', val_interval=15, is_pretrain=True, exp='ApproxDA_ACDC224')
The length of train set is: 1282
DDP: 1 GPU(s), world_size=1
54 iterations per epoch. 16200 max iterations 
epoch 60/300  loss: 0.0236  loss_ce: 0.0090  lr: 0.008181  elapsed: 1.37h
epoch 61/300  loss: 0.0241  loss_ce: 0.0092  lr: 0.008150  elapsed: 1.39h
epoch 62/300  loss: 0.0239  loss_ce: 0.0091  lr: 0.008120  elapsed: 1.41h
epoch 63/300  loss: 0.0232  loss_ce: 0.0089  lr: 0.008089  elapsed: 1.44h
epoch 64/300  loss: 0.0230  loss_ce: 0.0087  lr: 0.008058  elapsed: 1.46h
epoch 65/300  loss: 0.0231  loss_ce: 0.0088  lr: 0.008028  elapsed: 1.48h
epoch 66/300  loss: 0.0243  loss_ce: 0.0094  lr: 0.007997  elapsed: 1.50h
epoch 67/300  loss: 0.0229  loss_ce: 0.0087  lr: 0.007966  elapsed: 1.53h
epoch 68/300  loss: 0.0230  loss_ce: 0.0088  lr: 0.007935  elapsed: 1.55h
epoch 69/300  loss: 0.0229  loss_ce: 0.0087  lr: 0.007904  elapsed: 1.57h
epoch 70/300  loss: 0.0227  loss_ce: 0.0086  lr: 0.007874  elapsed: 1.60h
epoch 71/300  loss: 0.0226  loss_ce: 0.0086  lr: 0.007843  elapsed: 1.62h
epoch 72/300  loss: 0.0226  loss_ce: 0.0086  lr: 0.007812  elapsed: 1.64h
epoch 73/300  loss: 0.0223  loss_ce: 0.0084  lr: 0.007781  elapsed: 1.66h
epoch 74/300  loss: 0.0222  loss_ce: 0.0083  lr: 0.007750  elapsed: 1.69h
epoch 75/300  loss: 0.0222  loss_ce: 0.0084  lr: 0.007719  elapsed: 1.71h
epoch 76/300  loss: 0.0221  loss_ce: 0.0083  lr: 0.007689  elapsed: 1.73h
epoch 77/300  loss: 0.0221  loss_ce: 0.0084  lr: 0.007658  elapsed: 1.76h
epoch 78/300  loss: 0.0219  loss_ce: 0.0083  lr: 0.007627  elapsed: 1.78h
epoch 79/300  loss: 0.0221  loss_ce: 0.0083  lr: 0.007596  elapsed: 1.80h
epoch 80/300  loss: 0.0223  loss_ce: 0.0085  lr: 0.007565  elapsed: 1.82h
epoch 81/300  loss: 0.0222  loss_ce: 0.0084  lr: 0.007534  elapsed: 1.85h
epoch 82/300  loss: 0.0220  loss_ce: 0.0083  lr: 0.007503  elapsed: 1.87h
epoch 83/300  loss: 0.0217  loss_ce: 0.0082  lr: 0.007472  elapsed: 1.89h
epoch 84/300  loss: 0.0215  loss_ce: 0.0081  lr: 0.007441  elapsed: 1.92h
epoch 85/300  loss: 0.0212  loss_ce: 0.0080  lr: 0.007410  elapsed: 1.94h
epoch 86/300  loss: 0.0214  loss_ce: 0.0081  lr: 0.007379  elapsed: 1.96h
epoch 87/300  loss: 0.0216  loss_ce: 0.0082  lr: 0.007348  elapsed: 1.98h
epoch 88/300  loss: 0.0212  loss_ce: 0.0080  lr: 0.007317  elapsed: 2.01h
epoch 89/300  loss: 0.0212  loss_ce: 0.0080  lr: 0.007286  elapsed: 2.03h
epoch 90/300  loss: 0.0217  loss_ce: 0.0082  lr: 0.007255  elapsed: 2.05h
epoch 91/300  loss: 0.0213  loss_ce: 0.0080  lr: 0.007224  elapsed: 2.08h
epoch 92/300  loss: 0.0212  loss_ce: 0.0080  lr: 0.007193  elapsed: 2.10h
epoch 93/300  loss: 0.0210  loss_ce: 0.0080  lr: 0.007161  elapsed: 2.12h
epoch 94/300  loss: 0.0210  loss_ce: 0.0079  lr: 0.007130  elapsed: 2.14h
epoch 95/300  loss: 0.0206  loss_ce: 0.0078  lr: 0.007099  elapsed: 2.17h
epoch 96/300  loss: 0.0212  loss_ce: 0.0080  lr: 0.007068  elapsed: 2.19h
epoch 97/300  loss: 0.0211  loss_ce: 0.0079  lr: 0.007037  elapsed: 2.21h
epoch 98/300  loss: 0.0206  loss_ce: 0.0078  lr: 0.007006  elapsed: 2.24h
epoch 99/300  loss: 0.0208  loss_ce: 0.0079  lr: 0.006974  elapsed: 2.26h
epoch 100/300  loss: 0.0208  loss_ce: 0.0078  lr: 0.006943  elapsed: 2.28h
epoch 101/300  loss: 0.0206  loss_ce: 0.0078  lr: 0.006912  elapsed: 2.30h
epoch 102/300  loss: 0.0204  loss_ce: 0.0077  lr: 0.006881  elapsed: 2.33h
epoch 103/300  loss: 0.0203  loss_ce: 0.0076  lr: 0.006849  elapsed: 2.35h
epoch 104/300  loss: 0.0203  loss_ce: 0.0076  lr: 0.006818  elapsed: 2.37h
epoch 105/300  loss: 0.0209  loss_ce: 0.0078  lr: 0.006787  elapsed: 2.39h
epoch 106/300  loss: 0.0203  loss_ce: 0.0076  lr: 0.006755  elapsed: 2.42h
epoch 107/300  loss: 0.0204  loss_ce: 0.0077  lr: 0.006724  elapsed: 2.44h
epoch 108/300  loss: 0.0207  loss_ce: 0.0078  lr: 0.006693  elapsed: 2.46h
epoch 109/300  loss: 0.0204  loss_ce: 0.0077  lr: 0.006661  elapsed: 2.49h
epoch 110/300  loss: 0.0204  loss_ce: 0.0076  lr: 0.006630  elapsed: 2.51h
epoch 111/300  loss: 0.0202  loss_ce: 0.0076  lr: 0.006598  elapsed: 2.53h
epoch 112/300  loss: 0.0203  loss_ce: 0.0076  lr: 0.006567  elapsed: 2.55h
epoch 113/300  loss: 0.0200  loss_ce: 0.0075  lr: 0.006536  elapsed: 2.58h
epoch 114/300  loss: 0.0200  loss_ce: 0.0075  lr: 0.006504  elapsed: 2.60h
