sample_idx,model,mean_attn,max_attn,attn_on_mask,attn_off_mask
0,M=7 learn,0.4671,1.0000,0.5993,0.4587
1,M=7 learn,0.2955,1.0000,0.3695,0.2917
2,M=7 learn,0.3629,1.0000,0.9014,0.3505
3,M=7 learn,0.4293,1.0000,0.5718,0.4180
4,M=7 learn,0.3425,1.0000,0.4681,0.3399
5,M=7 learn,0.4229,1.0000,0.1406,0.4253
6,M=7 learn,0.4502,1.0000,0.6638,0.3848
7,M=7 learn,0.4302,1.0000,0.5709,0.4232
8,M=7 learn,0.4942,1.0000,0.4910,0.4947
9,M=7 learn,0.3714,1.0000,0.6400,0.3538
